Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,Eb,I,.Eb.I6,I,vi,0.3569,c,Eb
1,Eb,I,viio,vii,vi,0.3569,c,Eb
2,Eb,I,I,I,I,2.3191,Eb,Eb
3,Eb,I,I,I,VI,2.3191,C,Eb
4,Eb,I,ii,ii,I,2.3191,Eb,Eb
4,Eb,I,V,V,I,2.3191,Eb,Eb
5,Eb,I,I[I,I,I,1.1049,Eb,Eb
5,Eb,I,V43,V,I,1.1049,Eb,Eb
6,Eb,I,I,I,I,1.1049,Eb,Eb
6,Eb,I,V43,V,I,1.1049,Eb,Eb
7,Eb,I,I,I,i,0.1483,eb/d#,Eb
7,Eb,I,V43(+#4),V,i,0.1483,eb/d#,Eb
8,Eb,I,V43,V,v,1.0154,bb,Eb
8,Eb,I,V43],V,v,1.0154,bb,Eb
9,Eb,I,I6,I,I,0.4099,Eb,Eb
9,Eb,I,V2,V,I,0.4099,Eb,Eb
10,Eb,I,vi43,vi,V,2.1903,Bb,Eb
10,Eb,I,viio6,vii,V,2.1903,Bb,Eb
11,Eb,I,I,I,I,0.6007,Eb,Eb
11,Eb,I,vi7,vi,I,0.6007,Eb,Eb
11,Eb,I,V65,V,I,0.6007,Eb,Eb
11,Eb,I,I,I,I,0.6007,Eb,Eb
12,Eb,I,I64,I,V,0.7634,Bb,Eb
12,Eb,I,V65/V,V,V,0.7634,Bb,Eb
12,Eb,I,V\\\\,V,V,0.7634,Bb,Eb
12,Eb,I,viio,vii,V,0.7634,Bb,Eb
13,Eb,I,I[I,I,I,0.7031,Eb,Eb
13,Eb,I,V43,V,I,0.7031,Eb,Eb
14,Eb,I,I,I,I,1.1049,Eb,Eb
14,Eb,I,V43,V,I,1.1049,Eb,Eb
15,Eb,I,I,I,i,0.1483,eb/d#,Eb
15,Eb,I,V43(+#4),V,i,0.1483,eb/d#,Eb
16,Eb,I,V64,V,v,1.0154,bb,Eb
16,Eb,I,V43,V,v,1.0154,bb,Eb
16,Eb,I,V43],V,v,1.0154,bb,Eb
17,Eb,I,I6,I,I,0.4099,Eb,Eb
17,Eb,I,V2,V,I,0.4099,Eb,Eb
18,Eb,I,vi43,vi,V,2.1903,Bb,Eb
18,Eb,I,viio6,vii,V,2.1903,Bb,Eb
19,Eb,I,I,I,I,0.3936,Eb,Eb
19,Eb,I,V2/IV,V,I,0.3936,Eb,Eb
19,Eb,I,IV6,IV,I,0.3936,Eb,Eb
19,Eb,I,V6,V,I,0.3936,Eb,Eb
20,Eb,I,I(9+74),I,I,0.1718,Eb,Eb
20,Eb,I,I64,I,I,0.1718,Eb,Eb
20,Eb,I,I\\\\,I,I,0.1718,Eb,Eb
21,Eb,I,I,I,I,0.2458,Eb,Eb
22,Eb,I,vi7,vi,I,1.1826,Eb,Eb
22,Eb,I,viio,vii,I,1.1826,Eb,Eb
22,Eb,I,I\\\\,I,I,1.1826,Eb,Eb
22,Eb,I,vi6,vi,I,1.1826,Eb,Eb
