Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,false,I,.F.I,I,V,0.6682,C,F
1,false,I,V,V,V,0.6682,C,F
2,false,I,I,I,v,1.8845,c,F
2,false,I,V43,V,v,1.8845,c,F
3,false,I,I6,I,I,1.4603,F,F
3,false,I,V,V,I,1.4603,F,F
4,false,I,I6,I,I,1.4603,F,F
4,false,I,V,V,I,1.4603,F,F
5,false,I,I6,I,iii,0.3241,a,F
5,false,I,V2/vi,V,iii,0.3241,a,F
6,false,I,vi6,vi,VI,1.4457,D,F
6,false,I,V6/vi,V,VI,1.4457,D,F
7,false,I,vi,vi,vi,1.6901,d,F
7,false,I,V64/vi,V,vi,1.6901,d,F
8,false,I,vi,vi,vi,1.5073,d,F
8,false,I,I64,I,vi,1.5073,d,F
9,false,I,V[V43(2),V,v,1.2687,c,F
9,false,I,V43,V,v,1.2687,c,F
10,false,I,I,I,I,1.8254,F,F
10,false,I,V,V,I,1.8254,F,F
11,false,I,I6,I,I,1.3945,F,F
11,false,I,V6,V,I,1.3945,F,F
12,false,I,I,I,I,1.3945,F,F
12,false,I,V6,V,I,1.3945,F,F
13,false,I,I],I,iii,0.4593,a,F
13,false,I,V65/vi,V,iii,0.4593,a,F
14,false,I,vi,vi,vi,0.7124,d,F
14,false,I,V43/vi,V,vi,0.7124,d,F
15,false,I,vi6,vi,vi,0.8818,d,F
15,false,I,V65/vi,V,vi,0.8818,d,F
16,false,I,IV,IV,IV,1.5462,Bb,F
16,false,I,V2,V,IV,1.5462,Bb,F
17,false,I,I6,I,I,2.3458,F,F
17,false,I,V43,V,I,2.3458,F,F
18,false,I,I\\\\,I,I,1.1217,F,F
18,false,I,V6,V,I,1.1217,F,F
19,false,I,I,I,V,1.6271,C,F
19,false,I,V,V,V,1.6271,C,F
20,false,I,I,I,I,0.4187,F,F
20,false,I,V65,V,I,0.4187,F,F
21,false,I,I,I,V,1.1843,C,F
21,false,I,V,V,V,1.1843,C,F
22,false,I,I,I,I,0.7072,F,F
22,false,I,I6,I,I,0.7072,F,F
23,false,I,IV,IV,IV,1.8212,Bb,F
24,false,I,ii,ii,ii,0.8432,g,F
24,false,I,IV,IV,ii,0.8432,g,F
25,false,I,V,V,ii,2.3151,g,F
27,false,I,IV6(+2),IV,I,0.3912,F,F
27,false,I,V65,V,I,0.3912,F,F
27,false,I,I,I,I,0.3912,F,F
28,false,I,IV6(+2),IV,I,0.3912,F,F
28,false,I,V65,V,I,0.3912,F,F
28,false,I,I,I,I,0.3912,F,F
29,false,I,ii6,ii,V,1.2695,C,F
29,false,I,V,V,V,1.2695,C,F
30,false,I,IV6,IV,I,1.159,F,F
30,false,I,V7,V,I,1.159,F,F
30,false,I,I\\\\,I,I,1.159,F,F
31,false,I,iv6,iv,I,1.1059,F,F
31,false,I,V7,V,I,1.1059,F,F
31,false,I,I\\\\,I,I,1.1059,F,F
32,false,I,ii6,ii,V,1.7616,C,F
32,false,I,V,V,V,1.7616,C,F
33,false,I,I6,I,I,0.997,F,F
33,false,I,vi,vi,I,0.997,F,F
34,false,I,ii6,ii,ii,1.5164,g,F
34,false,I,V,V,ii,1.5164,g,F
35,false,I,I\\\\,I,I,0.171,F,F
35,false,I,V7,V,I,0.171,F,F
36,false,I,I,I,I,1.132,F,F
36,false,I,viio6,vii,I,1.132,F,F
37,false,I,I6,I,I,0.8067,F,F
37,false,I,viio6,vii,I,0.8067,F,F
38,false,I,I,I,I,1.4325,F,F
38,false,I,V,V,I,1.4325,F,F
39,false,I,I6,I,I,0.7675,F,F
39,false,I,V7,V,I,0.7675,F,F
40,false,I,I,I,I,0.3042,F,F
40,false,I,V/iii,V,I,0.3042,F,F
41,false,I,iii,iii,iii,0.8737,a,F
41,false,I,V7/iii,V,iii,0.8737,a,F
42,false,I,iii,iii,I,2.0695,F,F
42,false,I,vi,vi,I,2.0695,F,F
43,false,I,V7/V,V,ii,0.5995,g,F
45,false,I,V,V,II,1.5119,G,F
45,false,I,V43/V,V,II,1.5119,G,F
46,false,I,V6,V,v,0.3726,c,F
46,false,I,viio7,vii,v,0.3726,c,F
47,false,I,V2/V,V,V,1.6499,C,F
47,false,I,V65,V,V,1.6499,C,F
48,false,V,V.V43,V,ii,1.8019,g,F
49,false,V,V65,V,II,1.5834,G,F
50,false,V,V7,V,II,0.9627,G,F
50,false,V,V2,V,II,0.9627,G,F
51,false,V,I6,I,V,1.5808,C,F
51,false,V,V43,V,V,1.5808,C,F
52,false,V,I,I,V,0.6941,C,F
52,false,V,V7,V,V,0.6941,C,F
53,false,v,v.i6,i,v,1.3834,c,F
53,false,v,V65,V,v,1.3834,c,F
54,false,v,i,i,ii,1.9396,g,F
54,false,v,V64,V,ii,1.9396,g,F
