Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,e,I,.e.VI,VI,I,0.2995,C,C
2,e,VI,VI.I,I,I,0.5415,C,C
2,e,VI,I(64),I,I,0.5415,C,C
3,e,VI,I,I,I,0.2742,C,C
4,e,VI,I(64),I,I,0.4535,C,C
5,e,VI,I,I,I,0.3022,C,C
7,e,i,i.iv65,iv,iii,1.2617,e,C
7,e,i,i64,i,iii,1.2617,e,C
8,e,i,V7,V,vii,0.5766,b,C
8,e,i,V7(4),V,vii,0.5766,b,C
8,e,i,V7,V,vii,0.5766,b,C
9,e,i,i\\\\,i,I,1.4697,C,C
9,e,VI,VI.V43,V,I,1.4697,C,C
10,e,VI,I,I,I,0.2995,C,C
11,e,VI,I(64),I,I,0.5415,C,C
12,e,VI,I,I,I,0.2742,C,C
13,e,VI,I(64),I,I,0.4535,C,C
14,e,VI,I,I,I,0.3022,C,C
16,e,i,i.iv65,iv,iii,1.2617,e,C
16,e,i,i64,i,iii,1.2617,e,C
17,e,i,V7,V,vii,0.5766,b,C
17,e,i,V7(4),V,vii,0.5766,b,C
17,e,i,V7,V,vii,0.5766,b,C
18,e,i,i\\\\,i,iii,0.2932,e,C
18,e,i,i,i,iii,0.2932,e,C
19,e,i,V/V,V,#IV/bV,0.3437,Gb/F#,C
21,e,VI,VI.V7/V,V,#iv/bv,1.3861,f#,C
22,e,VI,V7,V,V,0.9622,G,C
23,e,VI,I\\\\,I,I,0.4812,C,C
23,e,VI,I,I,I,0.4812,C,C
24,e,VI,I(64),I,I,0.5334,C,C
25,e,VI,I,I,I,0.3644,C,C
26,e,VI,I(64),I,I,0.2692,C,C
27,e,VI,I,I,I,0.4189,C,C
29,e,i,i.iv6,iv,iii,1.1965,e,C
29,e,i,i64,i,iii,1.1965,e,C
30,e,i,V7,V,vii,1.1358,b,C
30,e,i,V7(4),V,vii,1.1358,b,C
30,e,i,V7,V,vii,1.1358,b,C
31,e,i,i\\\\,i,iii,0.4844,e,C
31,e,i,i,i,iii,0.4844,e,C
32,e,i,V/V,V,#IV/bV,0.3437,Gb/F#,C
34,e,VI,VI.V7/V,V,#iv/bv,1.3861,f#,C
35,e,VI,V7,V,V,0.9622,G,C
36,e,VI,I\\\\,I,I,0.4651,C,C
36,e,VI,I,I,I,0.4651,C,C
37,e,VI,I(64),I,I,0.5704,C,C
38,e,VI,I,I,I,0.4463,C,C
39,e,VI,I(64),I,I,0.2744,C,C
40,e,VI,I,I,I,0.3038,C,C
