Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,A,I,.A.I,I,I,0.2093,A,A
2,A,I,I,I,I,0.1737,A,A
5,A,I,I[IV,IV,IV,0.6925,D,A
6,A,I,V2,V,V,0.366,E,A
7,A,I,I6,I,I,0.7889,A,A
8,A,I,viio6/IV,vii,#V/bVI,0.8672,F,A
9,A,I,IV,IV,IV,0.5688,D,A
10,A,I,V2,V,V,0.3622,E,A
10,A,I,viio6,vii,V,0.3622,E,A
11,A,I,I6],I,I,0.5523,A,A
12,A,I,V7,V,v,1.858,e,A
13,A,I,I6,I,vi,1.0644,f#,A
14,A,I,IV,IV,IV,2.3023,D,A
14,A,I,V,V,IV,2.3023,D,A
15,A,I,I\\\\,I,I,1.528,A,A
16,A,I,V7,V,v,1.858,e,A
17,A,I,I6,I,#v/bvi,1.9833,f,A
17,A,I,V2/IV,V,#v/bvi,1.9833,f,A
18,A,I,IV6,IV,iv,0.8649,d,A
18,A,I,iv6,iv,iv,0.8649,d,A
19,A,I,V,V,V,1.1555,E,A
19,A,I,V2,V,V,1.1555,E,A
20,A,I,I6,I,I,0.7928,A,A
20,A,I,I,I,I,0.7928,A,A
20,A,I,V7/V,V,I,0.7928,A,A
21,A,I,V,V,V,0.1631,E,A
21,A,I,V43,V,V,0.1631,E,A
22,A,I,I6,I,I,0.7928,A,A
22,A,I,I,I,I,0.7928,A,A
22,A,I,V6,V,I,0.7928,A,A
22,A,I,I,I,I,0.7928,A,A
22,A,I,vi,vi,I,0.7928,A,A
22,A,I,V7/V,V,I,0.7928,A,A
23,A,I,V,V,V,0.257,E,A
24,A,I,V\\\\,V,V,0.6285,E,A
25,A,v,v.i,i,#II/bIII,1.4533,C,A
26,A,v,VI,VI,#II/bIII,1.7268,C,A
26,A,v,V,V,#II/bIII,1.7268,C,A
27,A,v,i6,i,v,0.2975,e,A
27,A,v,#viio6,#vii,v,0.2975,e,A
27,A,v,i,i,v,0.2975,e,A
27,A,v,#viio,#vii,v,0.2975,e,A
28,A,v,i(94),i,ii,1.0746,b,A
28,A,v,#viio7/V,#vii,ii,1.0746,b,A
28,A,v,V\\\\,V,ii,1.0746,b,A
29,A,v,i,i,v,0.2217,e,A
29,A,v,V43,V,v,0.2217,e,A
29,A,v,i6,i,v,0.2217,e,A
29,A,v,V6/iv,V,v,0.2217,e,A
30,A,v,iv,iv,i,0.3,a,A
30,A,v,V43/iv,V,i,0.3,a,A
30,A,v,iv6,iv,i,0.3,a,A
30,A,v,ii%7,ii,i,0.3,a,A
31,A,bVII,.bVII.I(64),I,#VI/bVII,2.0952,G,A
31,A,bVII,I,I,#VI/bVII,2.0952,G,A
31,A,bVII,ii6,ii,#VI/bVII,2.0952,G,A
31,A,bVII,V7,V,#VI/bVII,2.0952,G,A
31,A,bVII,V(64),V,#VI/bVII,2.0952,G,A
31,A,bVII,V7,V,#VI/bVII,2.0952,G,A
32,A,bVII,I(974),I,#VI/bVII,0.4295,G,A
32,A,bVII,I\\\\,I,#VI/bVII,0.4295,G,A
32,A,v,v.V,V,#VI/bVII,0.4295,G,A
33,A,v,i6,i,#II/bIII,1.4533,C,A
33,A,v,i,i,#II/bIII,1.4533,C,A
34,A,v,VI,VI,v,1.9538,e,A
34,A,v,V,V,v,1.9538,e,A
35,A,v,i6,i,v,0.2975,e,A
35,A,v,#viio6,#vii,v,0.2975,e,A
35,A,v,i,i,v,0.2975,e,A
35,A,v,#viio,#vii,v,0.2975,e,A
36,A,v,i(94),i,ii,1.0746,b,A
36,A,v,#viio7/V,#vii,ii,1.0746,b,A
36,A,v,V\\\\,V,ii,1.0746,b,A
