Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,C,I,.C.V,V,I,1.9289,G,G
2,C,I,I,I,IV,0.7021,C,G
4,C,I,V6,V,I,0.2458,G,G
5,C,I,I,I,ii,0.3578,a,G
5,C,I,vi6,vi,ii,0.3578,a,G
6,C,V,V.V,V,V,1.0637,D,G
6,C,V,V7,V,V,1.0637,D,G
7,C,V,I,I,I,1.3236,G,G
8,C,V,IV6,IV,IV,0.9292,C,G
8,C,V,IV,IV,IV,0.9292,C,G
8,C,V,ii,ii,IV,0.9292,C,G
9,C,V,V65,V,V,0.302,D,G
9,C,V,V,V,V,0.302,D,G
10,C,V,I64,I,I,0.2132,G,G
10,C,V,I6,I,I,0.2132,G,G
10,C,V,V2/IV,V,I,0.2132,G,G
11,C,V,IV6,IV,IV,0.2174,C,G
11,C,I,I.ii7,ii,IV,0.2174,C,G
12,C,I,IV,IV,v,1.909,d,G
12,C,I,IV6,IV,v,1.909,d,G
13,C,I,V7,V,I,0.4789,G,G
14,C,I,I\\\\,I,IV,0.2507,C,G
14,C,I,V2/IV,V,IV,0.2507,C,G
15,C,I,V7/ii,V,II,1.0359,A,G
16,C,I,ii,ii,#II/bIII,1.6864,Bb,G
16,C,I,.bVII6,bVII,#II/bIII,1.6864,Bb,G
17,C,I,V7/IV,V,IV,0.4789,C,G
18,C,I,IV,IV,#VI/bVII,0.3855,F,G
19,C,I,ii6,ii,v,1.6976,d,G
19,C,I,V65/V,V,v,1.6976,d,G
20,C,I,V[V,V,I,0.4772,G,G
21,C,I,V(64),V,IV,0.8512,C,G
22,C,I,V7,V,I,0.4517,G,G
23,C,I,V(64),V,IV,0.534,C,G
24,C,I,V7,V,i,0.639,g,G
25,C,I,V(64),V,IV,0.8512,C,G
26,C,I,V7,V,I,0.4517,G,G
27,C,I,V(64),V,IV,0.534,C,G
28,C,I,V,V,I,1.0612,G,G
28,C,I,V(64),V,I,1.0612,G,G
29,C,I,V,V,I,1.0612,G,G
29,C,I,V(64),V,I,1.0612,G,G
30,C,I,V,V,I,0.6811,G,G
30,C,I,V(64),V,I,0.6811,G,G
30,C,I,V,V,I,0.6811,G,G
31,C,I,V(64),V,IV,0.7227,C,G
31,C,I,V,V,IV,0.7227,C,G
31,C,I,V(64),V,IV,0.7227,C,G
32,C,I,V],V,I,0.3428,G,G
34,C,I,I,I,IV,1.4684,C,G
35,C,I,vi,vi,ii,0.3756,a,G
36,C,I,#viio/V,#vii,ii,0.9538,a,G
37,C,I,V/V,V,V,0.5795,D,G
37,C,V,V.V,V,V,0.5795,D,G
38,C,V,V(64),V,I,0.1213,G,G
38,C,V,V7,V,I,0.1213,G,G
38,C,V,V(64),V,I,0.1213,G,G
39,C,V,V7,V,V,0.5795,D,G
40,C,V,V(64),V,I,0.1213,G,G
40,C,V,V7,V,I,0.1213,G,G
40,C,V,V(64),V,I,0.1213,G,G
41,C,V,V7\\\\,V,v,0.9887,d,G
