Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,D,I,.D.I,I,V,1.9296,A,D
2,D,I,I,I,I,0.2129,D,D
3,D,I,V,V,V,0.7334,A,D
5,D,I,I,I,I,0.1211,D,D
7,D,I,V,V,V,0.5893,A,D
8,D,V,V.V(64),V,II,0.9918,E,D
8,D,V,V7,V,II,0.9918,E,D
9,D,V,I(742),I,V,0.5407,A,D
9,D,V,I\\\\,I,V,0.5407,A,D
11,D,I,I.I,I,I,1.3132,D,D
11,D,I,IV,IV,I,1.3132,D,D
12,D,I,I,I,I,0.9483,D,D
13,D,I,V2/IV,V,I,1.6045,D,D
14,D,I,IV6,IV,IV,1.2444,G,D
14,D,I,IV,IV,IV,1.2444,G,D
14,D,I,I\\\\,I,IV,1.2444,G,D
15,D,I,I,I,I,0.2245,D,D
16,D,I,V,V,V,0.3704,A,D
17,D,I,V,V,V,1.3074,A,D
17,D,I,V7,V,V,1.3074,A,D
18,D,I,I(742),I,I,0.535,D,D
18,D,I,I\\\\,I,I,0.535,D,D
20,D,I,I6,I,vi,0.3806,b,D
21,D,I,V6,V,V,0.8924,A,D
22,D,I,V7,V,v,1.8899,a,D
23,D,I,I,I,I,1.5567,D,D
23,D,I,I6,I,I,1.5567,D,D
24,D,I,I,I,I,0.4035,D,D
24,D,I,V7,V,I,0.4035,D,D
24,D,I,I,I,I,0.4035,D,D
25,D,V,V.I6,I,V,0.9512,A,D
25,D,V,V,V,V,0.9512,A,D
25,D,V,viio65/V,vii,V,0.9512,A,D
26,D,V,V(64),V,V,0.8073,A,D
26,D,V,V7,V,V,0.8073,A,D
27,D,V,I(742),I,V,0.3479,A,D
27,D,V,I\\\\,I,V,0.3479,A,D
29,D,I,I.I,I,I,0.6008,D,D
29,D,I,V2/IV,V,I,0.6008,D,D
30,D,I,IV6,IV,iv,0.4867,g,D
30,D,I,iv6,iv,iv,0.4867,g,D
30,D,I,I,I,iv,0.4867,g,D
30,D,I,iv,iv,iv,0.4867,g,D
31,D,I,I6,I,I,0.3063,D,D
31,D,I,vi6,vi,I,0.3063,D,D
32,D,I,IV,IV,iv,0.8371,g,D
32,D,I,I6,I,iv,0.8371,g,D
32,D,I,iv,iv,iv,0.8371,g,D
33,D,I,I,I,I,0.4188,D,D
33,D,I,V65,V,I,0.4188,D,D
33,D,I,I,I,I,0.4188,D,D
34,D,I,V43,V,I,1.6989,D,D
34,D,I,V65,V,I,1.6989,D,D
35,D,I,V7,V,#II/bIII,0.1433,F,D
36,D,I,I(742),I,I,0.3479,D,D
36,D,I,I\\\\,I,I,0.3479,D,D
38,D,I,I,I,I,0.2521,D,D
39,D,I,V43,V,v,1.4469,a,D
40,D,I,V65,V,V,0.1425,A,D
41,D,I,I,I,I,0.2499,D,D
42,D,I,I,I,I,0.696,D,D
42,D,I,V6,V,I,0.696,D,D
42,D,I,vi7,vi,I,0.696,D,D
43,D,I,V6,V,V,0.1383,A,D
43,D,I,V43/V,V,V,0.1383,A,D
43,D,I,V,V,V,0.1383,A,D
44,D,V,V.V7,V,ii,1.5642,e,D
45,D,V,I(742),I,V,0.1715,A,D
45,D,V,I\\\\,I,V,0.1715,A,D
47,D,I,I.I,I,I,0.2606,D,D
48,D,I,IV,IV,IV,1.4527,G,D
48,D,I,I(#4#2),I,IV,1.4527,G,D
48,D,I,I,I,IV,1.4527,G,D
50,D,I,IV,IV,IV,1.3804,G,D
50,D,I,I64(#4#2),I,IV,1.3804,G,D
50,D,I,I64,I,IV,1.3804,G,D
51,D,I,I,I,I,0.2276,D,D
52,D,I,V43,V,v,1.4469,a,D
53,D,I,V65,V,v,1.0289,a,D
53,D,I,V7,V,v,1.0289,a,D
54,D,I,I(742),I,I,0.1715,D,D
54,D,I,I\\\\,I,I,0.1715,D,D
56,D,I,I,I,I,0.825,D,D
56,D,I,V43,V,I,0.825,D,D
56,D,I,I6,I,I,0.825,D,D
57,D,I,V2,V,V,1.9799,A,D
58,D,I,V7,V,V,2.1489,A,D
58,D,I,vi7,vi,V,2.1489,A,D
58,D,I,V65,V,V,2.1489,A,D
59,D,I,I,I,I,0.2128,D,D
61,D,I,V,V,V,0.4567,A,D
62,D,I,V7/V,V,V,1.95,A,D
63,D,I,V64,V,V,0.8873,A,D
63,D,I,V,V,V,0.8873,A,D
63,D,I,V7\\\\,V,V,0.8873,A,D
64,D,I,I,I,I,0.0896,D,D
64,D,I,V2/IV,V,I,0.0896,D,D
65,D,I,IV6,IV,IV,1.4817,G,D
65,D,I,IV,IV,IV,1.4817,G,D
65,D,I,I,I,IV,1.4817,G,D
66,D,I,V2/IV,V,I,0.9638,D,D
67,D,I,IV6,IV,IV,0.7834,G,D
67,D,I,IV,IV,IV,0.7834,G,D
