Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,Db,I,.Db.viio6(2),vii,II,0.4436,Eb,Db/C#
1,Db,I,viio6,vii,II,0.4436,Eb,Db/C#
2,Db,I,vi6,vi,II,2.0431,Eb,Db/C#
2,Db,I,viio6(2),vii,II,2.0431,Eb,Db/C#
2,Db,I,viio6,vii,II,2.0431,Eb,Db/C#
2,Db,I,V6,V,II,2.0431,Eb,Db/C#
3,Db,I,I,I,I,1.3581,Db/C#,Db/C#
3,Db,I,V6,V,I,1.3581,Db/C#,Db/C#
3,Db,I,V43,V,I,1.3581,Db/C#,Db/C#
4,Db,I,I,I,I,0.3977,Db/C#,Db/C#
4,Db,I,I6,I,I,0.3977,Db/C#,Db/C#
4,Db,I,IV,IV,I,0.3977,Db/C#,Db/C#
4,Db,I,V43,V,I,0.3977,Db/C#,Db/C#
4,Db,I,V7,V,I,0.3977,Db/C#,Db/C#
4,Db,I,V(64),V,I,0.3977,Db/C#,Db/C#
4,Db,I,V7,V,I,0.3977,Db/C#,Db/C#
5,Db,I,I\\\\,I,I,0.5201,Db/C#,Db/C#
5,Db,I,I,I,I,0.5201,Db/C#,Db/C#
5,Db,I,V6,V,I,0.5201,Db/C#,Db/C#
5,Db,I,V65,V,I,0.5201,Db/C#,Db/C#
5,Db,I,V7,V,I,0.5201,Db/C#,Db/C#
6,Db,I,I,I,I,1.4993,Db/C#,Db/C#
6,Db,I,IVM7,IV,I,1.4993,Db/C#,Db/C#
6,Db,I,V7,V,I,1.4993,Db/C#,Db/C#
6,Db,I,vi,vi,I,1.4993,Db/C#,Db/C#
6,Db,I,V6,V,I,1.4993,Db/C#,Db/C#
7,Db,V,V.ii,ii,II,2.4552,Eb,Db/C#
7,Db,V,vii%7,vii,II,2.4552,Eb,Db/C#
7,Db,V,V6,V,II,2.4552,Eb,Db/C#
7,Db,V,iii7,iii,II,2.4552,Eb,Db/C#
7,Db,V,I6,I,II,2.4552,Eb,Db/C#
7,Db,V,ii7,ii,II,2.4552,Eb,Db/C#
7,Db,V,V64,V,II,2.4552,Eb,Db/C#
7,Db,V,iii7,iii,II,2.4552,Eb,Db/C#
7,Db,V,I6,I,II,2.4552,Eb,Db/C#
8,Db,V,ii7,ii,II,1.4561,Eb,Db/C#
8,Db,V,V64,V,II,1.4561,Eb,Db/C#
8,Db,V,iii,iii,II,1.4561,Eb,Db/C#
8,Db,V,I6,I,II,1.4561,Eb,Db/C#
8,Db,V,ii65,ii,II,1.4561,Eb,Db/C#
8,Db,V,V,V,II,1.4561,Eb,Db/C#
8,Db,V,i,i,II,1.4561,Eb,Db/C#
8,Db,V,V6/V,V,II,1.4561,Eb,Db/C#
9,Db,I,I.ii,ii,I,1.1035,Db/C#,Db/C#
9,Db,I,V6,V,I,1.1035,Db/C#,Db/C#
9,Db,I,I,I,I,1.1035,Db/C#,Db/C#
9,Db,I,I6,I,I,1.1035,Db/C#,Db/C#
9,Db,I,ii6,ii,I,1.1035,Db/C#,Db/C#
9,Db,I,V,V,I,1.1035,Db/C#,Db/C#
9,Db,I,I\\\\,I,I,1.1035,Db/C#,Db/C#
10,Db,I,ii,ii,V,0.2054,Ab,Db/C#
10,Db,I,V,V,V,0.2054,Ab,Db/C#
10,Db,I,I,I,V,0.2054,Ab,Db/C#
10,Db,I,V/V,V,V,0.2054,Ab,Db/C#
10,Db,I,V,V,V,0.2054,Ab,Db/C#
11,Db,V,V.I,I,V,1.2255,Ab,Db/C#
11,Db,V,V7,V,V,1.2255,Ab,Db/C#
11,Db,V,I,I,V,1.2255,Ab,Db/C#
12,Db,V,I6,I,V,0.5665,Ab,Db/C#
12,Db,V,I,I,V,0.5665,Ab,Db/C#
12,Db,V,V2,V,V,0.5665,Ab,Db/C#
12,Db,V,I6,I,V,0.5665,Ab,Db/C#
13,Db,V,V7/vi,V,V,0.6879,Ab,Db/C#
13,Db,V,vi,vi,V,0.6879,Ab,Db/C#
13,Db,V,V7/IV,V,V,0.6879,Ab,Db/C#
14,Db,V,@none,,V,0.8935,Ab,Db/C#
14,Db,V,IV,IV,V,0.8935,Ab,Db/C#
14,Db,V,V6,V,V,0.8935,Ab,Db/C#
14,Db,V,I,I,V,0.8935,Ab,Db/C#
14,Db,V,I6,I,V,0.8935,Ab,Db/C#
15,Db,V,ii6,ii,V,1.5128,Ab,Db/C#
15,Db,V,I6,I,V,1.5128,Ab,Db/C#
15,Db,V,IV,IV,V,1.5128,Ab,Db/C#
15,Db,V,V,V,V,1.5128,Ab,Db/C#
15,Db,V,I6,I,V,1.5128,Ab,Db/C#
16,Db,V,V2,V,V,1.3382,Ab,Db/C#
16,Db,V,V65,V,V,1.3382,Ab,Db/C#
16,Db,V,I,I,V,1.3382,Ab,Db/C#
16,Db,V,I6,I,V,1.3382,Ab,Db/C#
16,Db,V,V43,V,V,1.3382,Ab,Db/C#
16,Db,V,V65,V,V,1.3382,Ab,Db/C#
16,Db,V,I,I,V,1.3382,Ab,Db/C#
16,Db,V,I64,I,V,1.3382,Ab,Db/C#
17,Db,V,V43,V,vii,0.7574,c,Db/C#
17,Db,V,I,I,vii,0.7574,c,Db/C#
17,Db,V,V6/vi,V,vii,0.7574,c,Db/C#
17,Db,V,V7/vi,V,vii,0.7574,c,Db/C#
18,Db,III,III.V7,V,III,1.9383,F,Db/C#
18,Db,III,V65,V,III,1.9383,F,Db/C#
18,Db,III,I,I,III,1.9383,F,Db/C#
18,Db,III,V43,V,III,1.9383,F,Db/C#
18,Db,III,V7,V,III,1.9383,F,Db/C#
