Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,D,I,.D.I,I,I,1.6864,D,D
2,D,I,I,I,vi,0.2751,b,D
3,D,I,ii,ii,ii,0.2709,e,D
4,D,I,V,V,V,2.1281,A,D
5,D,I,V7,V,I,1.217,D,D
5,D,I,I,I,I,1.217,D,D
7,D,I,ii,ii,ii,0.5799,e,D
8,D,I,V,V,V,1.828,A,D
9,D,I,V9,V,vi,1.7961,b,D
10,D,I,#viio7/ii,#vii,V,2.2312,A,D
11,D,I,ii,ii,ii,0.4223,e,D
11,D,I,v,v,ii,0.4223,e,D
12,D,I,.bVII6,bVII,#VI/bVII,1.0841,C,D
13,D,I,vii%7/IV,vii,ii,1.0133,e,D
13,D,I,IV,IV,ii,1.0133,e,D
13,D,I,ii6,ii,ii,1.0133,e,D
14,D,I,IV6,IV,IV,1.0841,G,D
15,D,I,vii%7,vii,I,1.8319,D,D
15,D,I,I,I,I,1.8319,D,D
16,D,I,IV(#72),IV,v,1.9421,a,D
16,D,I,ii,ii,v,1.9421,a,D
16,D,I,V7,V,v,1.9421,a,D
17,D,I,I(+#74+2),I,#V/bVI,0.2681,Bb,D
17,D,I,I\\\\,I,#V/bVI,0.2681,Bb,D
18,D,I,iiio,iii,v,0.8126,a,D
19,D,I,#viio43/ii,#vii,#VI/bVII,0.6093,C,D
19,D,I,ii6,ii,#VI/bVII,0.6093,C,D
20,D,I,#viio43/ii,#vii,#VI/bVII,1.233,C,D
21,D,I,vii%43/IV,vii,ii,1.4738,e,D
21,D,I,IV6,IV,ii,1.4738,e,D
22,D,I,ii,ii,IV,1.233,G,D
23,D,I,V9,V,V,1.4705,A,D
23,D,I,V2,V,V,1.4705,A,D
24,D,I,V9,V,V,1.2848,A,D
24,D,I,V2,V,V,1.2848,A,D
24,D,I,V9,V,V,1.2848,A,D
24,D,I,V2,V,V,1.2848,A,D
25,D,I,V9,V,V,0.9767,A,D
25,D,I,V2,V,V,0.9767,A,D
25,D,I,I6,I,V,0.9767,A,D
26,D,I,IV(#7),IV,ii,2.2488,e,D
26,D,I,ii,ii,ii,2.2488,e,D
26,D,I,V7,V,ii,2.2488,e,D
27,D,I,I\\\\,I,I,0.3233,D,D
27,D,I,I6,I,I,0.3233,D,D
28,D,I,V2,V,V,1.3669,A,D
28,D,I,V65,V,V,1.3669,A,D
29,D,I,I,I,vi,0.5557,b,D
29,D,I,vi,vi,vi,0.5557,b,D
30,D,I,IV(4),IV,V,1.0159,A,D
30,D,I,ii6,ii,V,1.0159,A,D
30,D,I,V,V,V,1.0159,A,D
31,D,I,I\\\\,I,I,0.9178,D,D
31,D,I,I6,I,I,0.9178,D,D
32,D,I,V2,V,V,1.0792,A,D
32,D,I,V65,V,V,1.0792,A,D
33,D,I,I,I,I,1.0693,D,D
33,D,I,vi,vi,I,1.0693,D,D
34,D,I,IV(4),IV,v,1.7741,a,D
34,D,I,ii6,ii,v,1.7741,a,D
34,D,I,V7,V,v,1.7741,a,D
35,D,I,I\\\\,I,i,1.8173,d,D
35,D,I,IV6,IV,i,1.8173,d,D
36,D,I,V6,V,V,1.6298,A,D
36,D,I,I,I,V,1.6298,A,D
36,D,I,I6,I,V,1.6298,A,D
36,D,I,V,V,V,1.6298,A,D
37,D,I,I,I,i,1.7563,d,D
37,D,I,IV6,IV,i,1.7563,d,D
38,D,I,V6,V,V,1.0823,A,D
38,D,I,I,I,V,1.0823,A,D
38,D,I,I6,I,V,1.0823,A,D
38,D,I,V,V,V,1.0823,A,D
39,D,I,I,I,iv,1.8249,g,D
42,D,I,.bIII,bIII,i,1.2223,d,D
42,D,V,V.Ger6,Ger,i,1.2223,d,D
43,D,V,V\\\\,V,#VI/bVII,0.678,C,D
43,D,V,V[viio7,vii,#VI/bVII,0.678,C,D
44,D,V,i,i,v,0.1631,a,D
44,D,V,viio2,vii,v,0.1631,a,D
45,D,V,i64,i,v,1.7469,a,D
45,D,V,viio,vii,v,1.7469,a,D
46,D,V,i,i,V,0.7281,A,D
46,D,V,#viio64/V,#vii,V,0.7281,A,D
47,D,V,V6,V,V,1.92,A,D
47,D,V,viio43,vii,V,1.92,A,D
48,D,V,i6,i,v,0.1631,a,D
