Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,false,I,.F.I,I,IV,1.0491,F,C
2,false,I,V,V,I,1.9289,C,C
3,false,I,I,I,IV,1.0491,F,C
4,false,I,IV6,IV,II,1.9289,D,C
6,false,I,V65,V,I,0.9984,C,C
7,false,I,I,I,#VI/bVII,2.0195,Bb,C
7,false,I,vi,vi,#VI/bVII,2.0195,Bb,C
7,false,I,ii6,ii,#VI/bVII,2.0195,Bb,C
8,false,I,V(64),V,I,1.0823,C,C
8,false,I,V\\\\,V,I,1.0823,C,C
9,false,I,I,I,IV,1.0491,F,C
10,false,I,V,V,I,1.9289,C,C
11,false,I,I,I,IV,0.269,F,C
12,false,I,IV6,IV,II,1.9289,D,C
14,false,I,#viio7(6)/vi,#vii,vi,1.8014,a,C
14,false,I,#viio7/vi,#vii,vi,1.8014,a,C
16,false,I,#viio7(4)/ii,#vii,#II/bIII,1.2652,Eb,C
16,false,I,#viio7/ii,#vii,#II/bIII,1.2652,Eb,C
18,false,I,ii6(11#7b6),ii,#II/bIII,1.5289,Eb,C
18,false,I,ii6,ii,#II/bIII,1.5289,Eb,C
19,false,I,V(64),V,IV,0.7843,F,C
19,false,I,V(6),V,IV,0.7843,F,C
19,false,I,V7,V,IV,0.7843,F,C
20,false,I,I\\\\,I,IV,0.8516,F,C
21,false,I,I,I,I,0.4058,C,C
22,false,I,#viio7(b4)/V,#vii,#V/bVI,0.8186,Ab,C
22,false,I,#viio7/V,#vii,#V/bVI,0.8186,Ab,C
24,false,I,V7(4),V,i,2.0728,c,C
24,false,I,V7,V,i,2.0728,c,C
26,false,I,V7(4)/IV,V,iv,2.0728,f,C
26,false,I,V7/IV,V,iv,2.0728,f,C
27,false,I,ii6(9#4),ii,#VI/bVII,1.609,Bb,C
27,false,I,ii6,ii,#VI/bVII,1.609,Bb,C
28,false,I,V7,V,I,0.7611,C,C
29,false,I,I\\\\,I,IV,0.3004,F,C
30,false,I,V[I6,I,IV,0.3996,F,C
31,false,I,V64,V,I,0.3222,C,C
31,false,I,V43,V,I,0.3222,C,C
33,false,I,I6(6),I,IV,0.2431,F,C
33,false,I,I6,I,IV,0.2431,F,C
35,false,I,V2(6),V,I,1.4941,C,C
35,false,I,V2,V,I,1.4941,C,C
36,false,I,V2],V,I,0.7955,C,C
37,false,I,V65/vi,V,VI,1.0418,A,C
38,false,I,vi,vi,ii,0.1483,d,C
39,false,I,V65/V,V,V,1.0418,G,C
40,false,v,v.i,i,i,0.3115,c,C
41,false,v,VI,VI,#V/bVI,0.6662,Ab,C
43,false,v,V43/VI,V,#ii/biii,0.691,eb/d#,C
45,false,v,VI6(6),VI,#II/bIII,1.5815,Eb,C
45,false,v,VI6,VI,#II/bIII,1.5815,Eb,C
46,false,v,viio65/VII,vii,iv,1.9197,f,C
47,false,v,#viio65,#vii,IV,2.3191,F,C
48,false,v,i6,i,iv,2.3275,f,C
48,false,v,iio6,ii,iv,2.3275,f,C
48,false,v,#viio7/V,#vii,iv,2.3275,f,C
49,false,v,V,V,V,0.1704,G,C
49,false,v,V(64),V,V,0.1704,G,C
50,false,v,V,V,v,0.9284,g,C
50,false,v,V(64),V,v,0.9284,g,C
51,false,v,V,V,V,0.1704,G,C
51,false,v,V(64),V,V,0.1704,G,C
52,false,v,V,V,V,0.18,G,C
52,false,v,V(64),V,V,0.18,G,C
53,false,v,V,V,V,0.3726,G,C
53,false,v,i,i,V,0.3726,G,C
54,false,v,V,V,V,1.025,G,C
55,false,v,V\\\\,V,V,1.9289,G,C
55,false,V,V.V,V,V,1.9289,G,C
56,false,V,@none,,#V/bVI,1.9289,Ab,C
57,false,V,ii,ii,ii,0.3578,d,C
58,false,V,V,V,V,0.358,G,C
58,false,V,V2,V,V,0.358,G,C
59,false,V,I6,I,I,0.6494,C,C
59,false,V,viio6,vii,I,0.6494,C,C
59,false,V,I,I,I,0.6494,C,C
60,false,V,viio(64),vii,V,1.8225,G,C
60,false,V,viio,vii,V,1.8225,G,C
60,false,V,@none,,V,1.8225,G,C
61,false,V,viio,vii,ii,1.8065,d,C
62,false,V,V65/vi,V,III,0.1056,E,C
62,false,V,viio64/vi,vii,III,0.1056,E,C
63,false,V,vi6,vi,vi,0.2987,a,C
63,false,V,vi,vi,vi,0.2987,a,C
63,false,V,V7/V,V,vi,0.2987,a,C
64,false,V,V(94),V,I,1.0452,C,C
64,false,V,V\\\\,V,I,1.0452,C,C
64,false,V,@none,,I,1.0452,C,C
65,false,V,ii,ii,ii,0.3578,d,C
66,false,V,V,V,V,0.1621,G,C
66,false,V,V65,V,V,0.1621,G,C
67,false,V,I,I,I,0.6883,C,C
67,false,V,V43,V,I,0.6883,C,C
67,false,V,I6,I,I,0.6883,C,C
68,false,V,viio43(2),vii,i,1.9098,c,C
68,false,V,viio43\\\\,vii,i,1.9098,c,C
68,false,V,@none,,i,1.9098,c,C
69,false,V,viio7,vii,iv,1.0764,f,C
70,false,V,i,i,I,0.5897,C,C
70,false,V,#viio7/V,#vii,I,0.5897,C,C
71,false,V,V(b64),V,i,0.2574,c,C
71,false,V,V7,V,i,0.2574,c,C
72,false,V,I\\\\,I,I,0.4946,C,C
73,false,V,I,I,I,0.2552,C,C
74,false,V,V43,V,v,0.3632,g,C
76,false,V,#viio65/ii,#vii,v,1.5912,g,C
77,false,V,viio,vii,v,0.9748,g,C
78,false,V,ii6,ii,ii,0.4634,d,C
82,false,V,V,V,V,0.6632,G,C
83,false,V,V7,V,V,0.9939,G,C
84,false,V,I\\\\,I,I,0.2055,C,C
84,false,V,I6,I,I,0.2055,C,C
84,false,V,V64,V,I,0.2055,C,C
85,false,V,viio,vii,I,0.9476,C,C
85,false,V,I,I,I,0.9476,C,C
85,false,V,IV,IV,I,0.9476,C,C
86,false,V,I6,I,I,0.1536,C,C
86,false,V,viio6,vii,I,0.1536,C,C
87,false,V,viio,vii,ii,1.8065,d,C
89,false,V,I,I,I,0.3585,C,C
90,false,V,V65/V,V,II,0.9984,D,C
91,false,V,V(64),V,V,1.1743,G,C
91,false,V,V7,V,V,1.1743,G,C
92,false,V,I\\\\,I,I,0.2094,C,C
92,false,V,I6,I,I,0.2094,C,C
92,false,V,viio6,vii,I,0.2094,C,C
93,false,V,viio,vii,vi,2.0341,a,C
93,false,V,I,I,vi,2.0341,a,C
93,false,V,IV,IV,vi,2.0341,a,C
94,false,V,I6,I,I,0.1536,C,C
94,false,V,viio6,vii,I,0.1536,C,C
95,false,V,viio,vii,ii,1.8065,d,C
97,false,V,i,i,i,0.4088,c,C
98,false,V,.bVI,bVI,#V/bVI,0.5243,Ab,C
99,false,V,#viio7/V,#vii,#vi/bvii,1.2516,bb,C
99,false,V,.Ger6/vi,Ger,#vi/bvii,1.2516,bb,C
100,false,V,vi64,vi,ii,1.87,d,C
100,false,V,ii,ii,ii,1.87,d,C
100,false,V,V7,V,ii,1.87,d,C
101,false,V,I[I64,I,I,0.2662,C,C
103,false,V,V7,V,v,2.0493,g,C
105,false,V,I64,I,I,0.2113,C,C
107,false,V,V7,V,v,0.9911,g,C
109,false,V,I64,I,I,0.1668,C,C
109,false,V,I],I,I,0.1668,C,C
110,false,V,I,I,I,1.3777,C,C
114,false,V,I\\\\,I,I,0.3428,C,C
115,false,III,III.I,I,VI,0.698,A,C
119,false,IV,IV.I,I,#vi/bvii,1.7174,bb,C
120,false,IV,I64,I,#VI/bVII,0.9271,Bb,C
121,false,IV,IV64,IV,#vi/bvii,1.9144,bb,C
122,false,IV,IV6,IV,#II/bIII,1.4737,Eb,C
124,false,IV,viio,vii,i,1.8065,c,C
126,false,IV,I,I,v,0.1719,g,C
127,false,vi,vi.#viio,#vii,iii,1.8065,e,C
129,false,vi,#viio7,#vii,#VI/bVII,0.4058,Bb,C
