Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,D,I,.D.I,I,III,1.9296,Gb/F#,D
2,D,I,I,I,I,0.7023,D,D
2,D,I,I+,I,I,0.7023,D,D
3,D,I,IV,IV,IV,0.5961,G,D
3,D,I,ii6,ii,IV,0.5961,G,D
4,D,I,V2(4),V,I,0.6554,D,D
4,D,I,V2,V,I,0.6554,D,D
4,D,I,I6,I,I,0.6554,D,D
5,D,I,V(64),V,V,1.7633,A,D
5,D,I,V\\\\,V,V,1.7633,A,D
6,D,I,I,I,I,0.5802,D,D
7,D,I,vi(6),vi,IV,1.6861,G,D
7,D,I,vi,vi,IV,1.6861,G,D
7,D,iii,iii.#viio43,#vii,IV,1.6861,G,D
8,D,iii,i6,i,iii,0.178,f#,D
8,D,iii,i,i,iii,0.178,f#,D
8,D,iii,V7(6),V,iii,0.178,f#,D
8,D,iii,V7,V,iii,0.178,f#,D
9,D,iii,i\\\\,i,iii,1.3075,f#,D
10,D,IV,IV.V7/vi,V,I,1.6869,D,D
11,D,IV,V(64)/vi,V,vi,1.2742,b,D
11,D,IV,V2/vi,V,vi,1.2742,b,D
12,D,IV,vi6,vi,ii,1.3999,e,D
12,D,IV,vi,vi,ii,1.3999,e,D
13,D,IV,V7,V,i,1.8656,d,D
13,D,IV,V(6),V,i,1.8656,d,D
13,D,IV,V9,V,i,1.8656,d,D
14,D,IV,V7,V,I,0.561,D,D
15,D,IV,I,I,IV,0.7023,G,D
15,D,IV,I+,I,IV,0.7023,G,D
16,D,IV,IV,IV,#VI/bVII,0.5961,C,D
16,D,IV,ii6,ii,#VI/bVII,0.5961,C,D
17,D,IV,V2(4),V,IV,0.6554,G,D
17,D,IV,V2,V,IV,0.6554,G,D
17,D,IV,I6,I,IV,0.6554,G,D
18,D,IV,V(64),V,I,1.3698,D,D
18,D,IV,V\\\\,V,I,1.3698,D,D
18,D,IV,V+6,V,I,1.3698,D,D
19,D,IV,I(4),I,IV,2.091,G,D
19,D,IV,V43/V,V,IV,2.091,G,D
20,D,IV,V6(2),V,V,0.2416,A,D
20,D,IV,V6,V,V,0.2416,A,D
20,D,I,I.V65,V,V,0.2416,A,D
21,D,I,I(4),I,IV,0.3976,G,D
21,D,I,I,I,IV,0.3976,G,D
21,D,I,ii7,ii,IV,0.3976,G,D
22,D,I,#viio7/iii,#vii,#ii/biii,1.813,f,D
23,D,I,I6(#4),I,vi,1.2014,b,D
24,D,I,I6,I,i,1.0267,d,D
24,D,I,I+6,I,i,1.0267,d,D
26,D,I,IV,IV,vi,1.2867,b,D
27,D,I,.Ger6/vi,Ger,#VI/bVII,2.232,C,D
28,D,I,V/vi\\\\,V,#V/bVI,1.1228,Bb,D
30,D,I,ii,ii,ii,0.3579,e,D
31,D,I,V2(4),V,i,1.8847,d,D
32,D,I,V2,V,I,0.1807,D,D
32,D,I,I6,I,I,0.1807,D,D
33,D,I,ii6(2),ii,vi,2.1457,b,D
33,D,I,ii6,ii,vi,2.1457,b,D
34,D,I,V7,V,v,2.3155,a,D
35,D,I,I\\\\,I,I,0.7235,D,D
36,D,I,I,I,ii,0.7233,e,D
37,D,I,V6,V,V,1.4906,A,D
38,D,I,V65,V,V,1.2584,A,D
39,D,I,I(4),I,I,1.1623,D,D
39,D,I,I,I,I,1.1623,D,D
40,D,I,I,I,I,0.2929,D,D
40,D,I,V7/IV,V,I,0.2929,D,D
41,D,I,V6(2)/ii,V,VI,0.7899,B/Cb,D
41,D,I,V6/ii,V,VI,0.7899,B/Cb,D
43,D,I,ii,ii,vi,1.6495,b,D
43,D,I,viio65/ii,vii,vi,1.6495,b,D
44,D,I,ii6,ii,ii,1.1288,e,D
44,D,I,#viio7/V,#vii,ii,1.1288,e,D
45,D,I,V[V64,V,I,1.2945,D,D
45,D,I,I6,I,I,1.2945,D,D
46,D,I,V6,V,I,1.0007,D,D
46,D,I,vi6,vi,I,1.0007,D,D
46,D,I,IV6,IV,I,1.0007,D,D
47,D,I,iii6,iii,I,1.7465,D,D
47,D,I,IV6,IV,I,1.7465,D,D
47,D,I,ii6,ii,I,1.7465,D,D
48,D,I,I6,I,I,1.4445,D,D
48,D,I,ii6],ii,I,1.4445,D,D
48,D,I,#viio7/vi,#vii,I,1.4445,D,D
49,D,I,vi,vi,vi,1.1198,b,D
50,D,I,V65/V,V,ii,1.2988,e,D
51,D,I,V[I64,I,I,0.6942,D,D
52,D,I,V7,V,i,1.0917,d,D
52,D,I,I64],I,i,1.0917,d,D
52,D,I,#viio/vi,#vii,i,1.0917,d,D
53,D,I,vi,vi,IV,1.1896,G,D
54,D,I,V65/V,V,vi,2.3242,b,D
55,D,I,V[I64,I,I,0.4166,D,D
56,D,I,V7,V,v,1.7656,a,D
57,D,I,I6,I,I,0.2827,D,D
58,D,I,V2],V,V,1.7143,A,D
58,D,I,V2,V,V,1.7143,A,D
59,D,I,I6,I,I,0.8976,D,D
59,D,I,IV6,IV,I,0.8976,D,D
59,D,I,I64,I,I,0.8976,D,D
60,D,I,V2,V,v,1.9833,a,D
60,D,I,I6,I,v,1.9833,a,D
60,D,I,V43,V,v,1.9833,a,D
61,D,I,I,I,I,0.2035,D,D
61,D,I,vi7,vi,I,0.2035,D,D
61,D,I,V(4),V,I,0.2035,D,D
62,D,I,IV,IV,I,1.1368,D,D
62,D,I,I6(+4),I,I,1.1368,D,D
62,D,I,V43,V,I,1.1368,D,D
63,D,I,I(4+2),I,V,0.9832,A,D
64,D,I,I\\\\,I,I,0.5244,D,D
65,D,i,i.i,i,V,1.9296,A,D
66,D,i,i,i,#II/bIII,1.5707,F,D
67,D,i,v6,v,#VI/bVII,1.2443,C,D
68,D,i,iv6(2),iv,#V/bVI,1.3899,Bb,D
68,D,i,.Ger6,Ger,#V/bVI,1.3899,Bb,D
69,D,i,V\\\\,V,V,0.8581,A,D
70,D,i,i,i,#II/bIII,1.5707,F,D
71,D,i,v6,v,#VI/bVII,1.2443,C,D
72,D,i,iv6(2),iv,iv,1.411,g,D
72,D,i,.Ger6,Ger,iv,1.411,g,D
73,D,i,V\\\\,V,V,1.3248,A,D
74,D,i,i,i,i,1.4736,d,D
75,D,i,#viio7/ii,#vii,vi,0.9564,b,D
76,D,v,v.V(64),V,v,0.8629,a,D
76,D,v,V7,V,v,0.8629,a,D
77,D,v,i\\\\,i,v,0.2551,a,D
79,D,iv,iv.vi,vi,#vi/bvii,1.055,c,D
80,D,iv,iv6,iv,iv,0.9698,g,D
81,D,iv,#viio6(2),#vii,#VI/bVII,1.3641,C,D
81,D,iv,#viio6,#vii,#VI/bVII,1.3641,C,D
82,D,iv,i\\\\,i,iv,0.3569,g,D
83,D,iv,i,i,#V/bVI,1.5707,Bb,D
84,D,i,i.i6,i,#II/bIII,1.2443,F,D
85,D,i,#viio6(2),#vii,IV,1.3641,G,D
85,D,i,#viio6,#vii,IV,1.3641,G,D
86,D,i,i\\\\,i,#II/bIII,1.8402,F,D
87,D,i,i,i,#II/bIII,1.5707,F,D
88,D,i,v6,v,#VI/bVII,1.2443,C,D
89,D,i,iv6(2),iv,iv,1.411,g,D
89,D,i,.Ger6,Ger,iv,1.411,g,D
90,D,i,V\\\\,V,V,1.3248,A,D
91,D,i,iv6(2),iv,iv,1.411,g,D
91,D,i,.Ger6,Ger,iv,1.411,g,D
92,D,i,V,V,V,1.3248,A,D
93,D,i,iv6(2),iv,iv,1.411,g,D
93,D,i,.Ger6,Ger,iv,1.411,g,D
95,D,i,V\\\\,V,V,0.3429,A,D
99,D,i,V7,V,IV,1.9296,G,D
102,D,I,I.I,I,I,1.4533,D,D
103,D,I,I,I,I,0.7023,D,D
103,D,I,I+,I,I,0.7023,D,D
104,D,I,ii6(2),ii,IV,0.5961,G,D
104,D,I,ii6,ii,IV,0.5961,G,D
105,D,I,V2(4),V,I,0.6554,D,D
105,D,I,V2,V,I,0.6554,D,D
105,D,I,I6,I,I,0.6554,D,D
106,D,I,V(64),V,V,1.7633,A,D
106,D,I,V\\\\,V,V,1.7633,A,D
107,D,I,I,I,I,0.5802,D,D
108,D,I,vi(6),vi,IV,1.6861,G,D
108,D,I,vi,vi,IV,1.6861,G,D
108,D,iii,iii.#viio43,#vii,IV,1.6861,G,D
109,D,iii,i6,i,iii,0.178,f#,D
109,D,iii,i,i,iii,0.178,f#,D
