Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,e,I,.e.i,i,iv,1.2449,e,b
1,e,I,V6,V,iv,1.2449,e,b
3,e,I,i,i,iv,0.8883,e,b
4,e,I,V7,V,iv,0.688,e,b
4,e,I,i\\\\,i,iv,0.688,e,b
6,e,I,.bII,bII,#IV/bV,1.4562,F,b
7,e,I,V7/bII,V,#IV/bV,0.7915,F,b
7,e,I,.bII,bII,#IV/bV,0.7915,F,b
9,e,I,viio7,vii,v,0.4259,f#,b
10,e,I,V65(2),V,i,0.9385,b,b
10,e,I,V65,V,i,0.9385,b,b
11,e,I,V7,V,i,1.5731,b,b
12,e,I,V7(2),V,i,0.9385,b,b
12,e,I,V7,V,i,0.9385,b,b
13,e,I,V(64),V,iv,0.52,e,b
13,e,I,V7,V,iv,0.52,e,b
14,e,I,V(64),V,iv,0.9939,e,b
14,e,I,V7(4),V,iv,0.9939,e,b
14,e,I,V7,V,iv,0.9939,e,b
15,e,I,i\\\\,i,iv,0.6559,e,b
15,e,I,iv,iv,iv,0.6559,e,b
15,e,I,V6/iv,V,iv,0.6559,e,b
15,e,I,iv,iv,iv,0.6559,e,b
16,e,I,.bII,bII,#I/bII,1.133,C,b
16,e,I,vii,vii,#I/bII,1.133,C,b
17,e,I,III,III,#I/bII,1.4735,C,b
17,e,I,.bII,bII,#I/bII,1.4735,C,b
18,e,I,#viio7/V,#vii,iv,0.7229,e,b
18,e,I,V(64),V,iv,0.7229,e,b
19,e,I,#viio2,#vii,I,0.237,B/Cb,b
19,e,I,V6\\\\,V,I,0.237,B/Cb,b
21,e,I,i[i6,i,IV,1.0413,E,b
21,e,I,#viio64,#vii,IV,1.0413,E,b
22,e,I,i6,i,iv,0.8642,e,b
22,e,I,#viio64,#vii,iv,0.8642,e,b
23,e,I,i6],i,iv,1.6181,e,b
23,e,I,iv,iv,iv,1.6181,e,b
23,e,I,V6/iv,V,iv,1.6181,e,b
23,e,I,iv,iv,iv,1.6181,e,b
24,e,I,.bII,bII,#I/bII,1.133,C,b
24,e,I,vii,vii,#I/bII,1.133,C,b
25,e,I,.bII,bII,#I/bII,1.469,C,b
25,e,vi,vi.iv6,iv,#I/bII,1.469,C,b
26,e,vi,V7,V,#V/bVI,0.9984,G,b
27,e,vi,i,i,#i/bii,1.2373,c,b
28,e,iii,iii.V65,V,#ii/biii,1.066,d,b
29,e,iii,i,i,#v/bvi,1.2373,g,b
30,e,iii,VI,VI,III,0.312,Eb,b
30,e,iii,.Ger6,Ger,III,0.312,Eb,b
31,e,iii,V[V,V,#ii/biii,1.6224,d,b
31,e,iii,iv6,iv,#ii/biii,1.6224,d,b
31,e,iii,#viio7/V,#vii,#ii/biii,1.6224,d,b
31,e,iii,V,V,#ii/biii,1.6224,d,b
31,e,iii,#viio7/V,#vii,#ii/biii,1.6224,d,b
32,e,iii,V,V,#II/bIII,1.2445,D,b
32,e,iii,VI6,VI,#II/bIII,1.2445,D,b
32,e,iii,#viio43/V,#vii,#II/bIII,1.2445,D,b
32,e,iii,V6,V,#II/bIII,1.2445,D,b
32,e,iii,.Ger6,Ger,#II/bIII,1.2445,D,b
32,e,iii,V,V,#II/bIII,1.2445,D,b
32,e,iii,#viio7/V,#vii,#II/bIII,1.2445,D,b
32,e,iii,V,V,#II/bIII,1.2445,D,b
32,e,iii,V7/V,V,#II/bIII,1.2445,D,b
32,e,iii,V,V,#II/bIII,1.2445,D,b
32,e,iii,V7/V,V,#II/bIII,1.2445,D,b
33,e,iii,V],V,#II/bIII,0.2697,D,b
33,e,III,III.V\\\\,V,#II/bIII,0.2697,D,b
35,e,III,V7,V,#II/bIII,1.752,D,b
36,e,III,V43,V,#ii/biii,0.2769,d,b
37,e,III,V65,V,#ii/biii,1.1995,d,b
37,e,III,V43,V,#ii/biii,1.1995,d,b
38,e,III,V2,V,#ii/biii,1.9815,d,b
39,e,III,I6,I,#V/bVI,0.2107,G,b
39,e,III,IV,IV,#V/bVI,0.2107,G,b
40,e,III,V,V,#V/bVI,1.1008,G,b
40,e,III,V7,V,#V/bVI,1.1008,G,b
40,e,III,I\\\\,I,#V/bVI,1.1008,G,b
41,e,III,I6,I,#V/bVI,0.7619,G,b
41,e,III,IV(+4),IV,#V/bVI,0.7619,G,b
41,e,III,IV,IV,#V/bVI,0.7619,G,b
42,e,III,viio7,vii,#VI/bVII,2.0431,A,b
43,e,III,I6,I,iv,0.6065,e,b
43,e,III,ii64(2),ii,iv,0.6065,e,b
43,e,III,ii64,ii,iv,0.6065,e,b
44,e,III,V(9),V,#II/bIII,0.1524,D,b
44,e,III,V6,V,#II/bIII,0.1524,D,b
44,e,III,V,V,#II/bIII,0.1524,D,b
45,e,III,I,I,#V/bVI,1.1125,G,b
45,e,III,ii6(#76),ii,#V/bVI,1.1125,G,b
45,e,III,ii6,ii,#V/bVI,1.1125,G,b
45,e,III,ii,ii,#V/bVI,1.1125,G,b
46,e,III,V6(2),V,#II/bIII,1.4225,D,b
46,e,III,V6,V,#II/bIII,1.4225,D,b
46,e,III,V,V,#II/bIII,1.4225,D,b
47,e,III,I(11#2),I,#V/bVI,1.6721,G,b
47,e,III,I,I,#V/bVI,1.6721,G,b
47,e,III,V65/V,V,#V/bVI,1.6721,G,b
48,e,III,V(64),V,#V/bVI,0.7446,G,b
48,e,III,V7,V,#V/bVI,0.7446,G,b
49,e,III,viio2,vii,#ii/biii,1.3425,d,b
49,e,III,V,V,#ii/biii,1.3425,d,b
49,e,III,viio43,vii,#ii/biii,1.3425,d,b
49,e,III,V,V,#ii/biii,1.3425,d,b
49,e,III,viio2,vii,#ii/biii,1.3425,d,b
49,e,III,V,V,#ii/biii,1.3425,d,b
49,e,III,viio43,vii,#ii/biii,1.3425,d,b
50,e,III,#viio65/V,#vii,VII,1.902,Bb,b
50,e,III,i64,i,VII,1.902,Bb,b
50,e,III,#viio7/V,#vii,VII,1.902,Bb,b
50,e,III,i64,i,VII,1.902,Bb,b
50,e,III,#viio65/V,#vii,VII,1.902,Bb,b
50,e,III,i64,i,VII,1.902,Bb,b
50,e,III,#viio7/V,#vii,VII,1.902,Bb,b
51,e,III,V\\\\,V,#II/bIII,2.2268,D,b
51,e,III,V65,V,#II/bIII,2.2268,D,b
51,e,III,I,I,#II/bIII,2.2268,D,b
51,e,III,viio43,vii,#II/bIII,2.2268,D,b
51,e,III,I6,I,#II/bIII,2.2268,D,b
52,e,III,ii6,ii,#V/bVI,1.0182,G,b
52,e,III,I64,I,#V/bVI,1.0182,G,b
52,e,III,V43/V,V,#V/bVI,1.0182,G,b
52,e,III,V(64),V,#V/bVI,1.0182,G,b
52,e,III,V7,V,#V/bVI,1.0182,G,b
53,e,III,#viio2,#vii,#V/bVI,1.0014,G,b
53,e,III,V,V,#V/bVI,1.0014,G,b
53,e,III,#viio2/vi,#vii,#V/bVI,1.0014,G,b
53,e,III,V7/vi,V,#V/bVI,1.0014,G,b
53,e,III,vi64,vi,#V/bVI,1.0014,G,b
53,e,III,vi%43,vi,#V/bVI,1.0014,G,b
54,e,III,V7/V,V,#vi/bvii,2.2404,a,b
54,e,III,v64,v,#vi/bvii,2.2404,a,b
54,e,III,v%43,v,#vi/bvii,2.2404,a,b
54,e,III,V7/IV,V,#vi/bvii,2.2404,a,b
54,e,III,IV,IV,#vi/bvii,2.2404,a,b
54,e,III,#viio7/V,#vii,#vi/bvii,2.2404,a,b
55,e,III,V(64),V,#v/bvi,1.0471,g,b
55,e,III,V43/IV,V,#v/bvi,1.0471,g,b
56,e,III,#viio65/ii,#vii,#VI/bVII,0.2153,A,b
56,e,III,V2/ii,V,#VI/bVII,0.2153,A,b
56,e,III,V6/V,V,#VI/bVII,0.2153,A,b
56,e,III,viio65,vii,#VI/bVII,0.2153,A,b
57,e,III,I6,I,#V/bVI,1.8025,G,b
57,e,III,v,v,#V/bVI,1.8025,G,b
58,e,III,#viio43/ii,#vii,#VI/bVII,0.1901,A,b
58,e,III,V6/V,V,#VI/bVII,0.1901,A,b
58,e,III,viio43,vii,#VI/bVII,0.1901,A,b
59,e,III,I6,I,#I/bII,1.8228,C,b
59,e,III,#viio65/ii,#vii,#I/bII,1.8228,C,b
59,e,III,ii6,ii,#I/bII,1.8228,C,b
60,e,III,#viio7/V,#vii,#V/bVI,0.5198,G,b
60,e,III,I64,I,#V/bVI,0.5198,G,b
60,e,III,.Ger6,Ger,#V/bVI,0.5198,G,b
61,e,III,#viio65/V,#vii,#i/bii,1.4904,c,b
62,e,III,.Ger6,Ger,III,0.1812,Eb,b
63,e,III,V(64),V,#V/bVI,0.8241,G,b
64,e,III,V7,V,#II/bIII,1.2662,D,b
65,e,III,V(64),V,#V/bVI,0.6137,G,b
66,e,III,V7,V,#ii/biii,1.4906,d,b
67,e,III,V(64),V,#V/bVI,0.4987,G,b
68,e,III,V7,V,#ii/biii,1.3625,d,b
69,e,III,I\\\\,I,i,1.1648,b,b
69,e,III,V7,V,i,1.1648,b,b
70,e,i,i.i,i,iv,0.9981,e,b
70,e,i,V6,V,iv,0.9981,e,b
