Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,f,I,.f.#viio6,#vii,v,1.2538,c,F
1,f,I,i6,i,v,1.2538,c,F
2,f,I,i64,i,i,0.5299,f,F
2,f,I,i6,i,i,0.5299,f,F
2,f,I,#viio6,#vii,i,0.5299,f,F
2,f,I,i,i,i,0.5299,f,F
3,f,I,i64,i,i,1.27,f,F
3,f,I,iv6,iv,i,1.27,f,F
4,f,I,iv64,iv,iv,0.718,bb,F
4,f,I,IV2,IV,iv,0.718,bb,F
6,f,I,#viio43,#vii,iii,1.0743,a,F
7,f,I,#viio2,#vii,#v/bvi,0.2082,c#,F
7,f,I,#viio7,#vii,#v/bvi,0.2082,c#,F
8,f,I,V6,V,i,0.5687,f,F
8,f,I,i,i,i,0.5687,f,F
9,f,I,#viio65,#vii,v,1.6596,c,F
10,f,I,V,V,i,1.6896,f,F
10,f,I,V65(+2),V,i,1.6896,f,F
11,f,I,V,V,i,1.6896,f,F
11,f,I,V65(+2),V,i,1.6896,f,F
12,f,I,V,V,V,1.8441,C,F
13,f,I,V,V,V,0.6465,C,F
13,f,I,V6,V,V,0.6465,C,F
14,f,I,V,V,v,1.1743,c,F
14,f,I,V6,V,v,1.1743,c,F
15,f,I,I(+4),I,IV,1.5766,Bb,F
15,f,I,I64,I,IV,1.5766,Bb,F
16,f,I,I,I,I,0.4973,F,F
17,f,I,I[I6,I,I,0.696,F,F
17,f,I,viio/IV,vii,I,0.696,F,F
19,f,I,IV(4),IV,IV,0.9096,Bb,F
19,f,I,IV,IV,IV,0.9096,Bb,F
19,f,I,V2/IV,V,IV,0.9096,Bb,F
20,f,I,IV6,IV,IV,0.3339,Bb,F
20,f,I,I64,I,IV,0.3339,Bb,F
20,f,I,IV,IV,IV,0.3339,Bb,F
21,f,I,ii,ii,IV,0.2728,Bb,F
22,f,I,I6,I,I,0.7357,F,F
22,f,I,IV,IV,I,0.7357,F,F
22,f,I,I6,I,I,0.7357,F,F
22,f,I,ii,ii,I,0.7357,F,F
23,f,I,I6,I,I,0.8941,F,F
23,f,I,ii65,ii,I,0.8941,F,F
23,f,I,V7,V,I,0.8941,F,F
24,f,I,I],I,I,0.3269,F,F
24,f,I,I64,I,I,0.3269,F,F
25,f,I,I,I,I,0.2958,F,F
25,f,I,V65/IV,V,I,0.2958,F,F
26,f,I,I,I,I,0.2611,F,F
26,f,I,viio6/IV,vii,I,0.2611,F,F
27,f,I,V7/IV,V,I,1.0291,F,F
27,f,I,viio/IV,vii,I,1.0291,F,F
28,f,I,IV64,IV,IV,1.1848,Bb,F
28,f,I,IV,IV,IV,1.1848,Bb,F
29,f,I,IV64,IV,IV,0.8181,Bb,F
29,f,I,IV,IV,IV,0.8181,Bb,F
30,f,I,ii2(+2),ii,IV,0.8928,Bb,F
30,f,I,ii6(119),ii,IV,0.8928,Bb,F
30,f,I,ii6,ii,IV,0.8928,Bb,F
31,f,I,ii2(9),ii,ii,2.0148,g,F
31,f,I,ii2,ii,ii,2.0148,g,F
31,f,I,V2,V,ii,2.0148,g,F
32,f,I,I,I,I,0.7238,F,F
32,f,I,I6,I,I,0.7238,F,F
33,f,I,I,I,I,0.4952,F,F
34,f,I,V6,V,V,0.4297,C,F
35,f,I,vi,vi,I,1.4906,F,F
